model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
bert-large-cased,sum,5,cosine,0.5044386174722524,212.08506691599905,0.6237796085764677
bert-base-multilingual-uncased,sum,10,cosine,0.5034519147949861,79.61599370899785,0.23416468737940543
bert-base-cased,sum,10,cosine,0.49768515308477057,85.16692904199954,0.2504909677705869
bert-large-uncased,sum,2,cosine,0.49364755731587473,203.43692900000315,0.5983439088235387
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.49200619228035547,87.50484591600252,0.25736719387059565
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.48931643850985695,87.01471537499674,0.25592563345587277
bert-base-uncased,none,0,cosine,0.48837956490035495,77.70955866700024,0.22855752549117717
bert-large-uncased,sum,5,cosine,0.48198938547750503,209.63243720899482,0.6165659917911612
bert-large-cased-whole-word-masking,sum,10,cosine,0.48074579360448844,204.02225983400422,0.6000654701000124
bert-base-multilingual-cased,sum,10,cosine,0.47930770196278716,76.98828933299956,0.2264361450970575
bert-base-uncased,sum,20,cosine,0.4769844055129533,82.98078929099938,0.2440611449735276
bert-base-cased,sum,20,cosine,0.47572719300309685,83.58750066599896,0.2458455901941146
bert-large-cased,sum,10,cosine,0.47477486734788177,212.44579574999807,0.6248405757352884
bert-base-multilingual-cased,sum,20,cosine,0.4730627924168016,88.35352091700042,0.2598632968147071
bert-base-multilingual-uncased,sum,20,cosine,0.47041949841594155,81.7723279999991,0.2405068470588209
bert-large-cased-whole-word-masking,sum,20,cosine,0.46992435933978105,201.49124737500097,0.5926213158088264
bert-large-cased,sum,20,cosine,0.46717855537736785,202.51955724999425,0.5956457566176302
bert-large-uncased-whole-word-masking,sum,10,cosine,0.4646685719823418,206.95830962499895,0.6087009106617616
bert-large-uncased,sum,10,cosine,0.4628589088061732,212.03978574999928,0.6236464286764685
bert-large-uncased-whole-word-masking,sum,20,cosine,0.4581794792482703,210.40412608299812,0.6188356649499944
bert-base-multilingual-uncased,none,0,cosine,0.446697083345199,74.02246258300147,0.21771312524412198
bert-large-uncased-whole-word-masking,none,0,cosine,0.44533132428410416,195.2000000420012,0.5741176471823565
bert-large-uncased,sum,20,cosine,0.44191286324463275,205.74200516699784,0.6051235446088172
bert-base-cased,none,0,cosine,0.4327769945220148,76.74274966699886,0.22571396960882018
bert-large-cased,none,0,cosine,0.4143331937184591,196.48812283299776,0.577906243626464
EMBEDDIA/crosloengual-bert,none,0,cosine,0.39398697276611183,79.43098574999749,0.23362054632352203
EMBEDDIA/crosloengual-bert,sum,50,cosine,0.3663260924653602,88.05415937499856,0.25898282169117226
bert-large-cased-whole-word-masking,none,0,cosine,0.36288780127421294,194.48486908299674,0.5720143208323434
bert-large-uncased,none,0,cosine,0.3531235051243766,195.8041229590017,0.5758944792911814
bert-base-multilingual-uncased,sum,50,cosine,0.35264024531940474,80.961822958001,0.2381230087000029
bert-base-cased,sum,50,cosine,0.34842729385010984,89.95351929200115,0.2645691743882387
bert-large-cased-whole-word-masking,sum,50,cosine,0.3418117406058654,202.25734608399944,0.5948745473058807
bert-base-multilingual-cased,sum,50,cosine,0.33877578586758017,78.94513537500097,0.2321915746323558
bert-large-uncased-whole-word-masking,sum,50,cosine,0.33492733063663493,202.22543700000097,0.5947806970588264
bert-large-cased,sum,50,cosine,0.33247108304646067,205.73237004199473,0.6050952060058669
bert-base-uncased,sum,50,cosine,0.3290613650134834,84.80646979099765,0.24943079350293426
bert-large-uncased,sum,50,cosine,0.30480819834776773,208.13775441699545,0.6121698659323396
EMBEDDIA/crosloengual-bert,sum,100,cosine,0.10424327291681823,89.58801266599767,0.2634941548999931
bert-large-cased-whole-word-masking,sum,100,cosine,0.049348751760526444,207.43361229199945,0.6100988596823513
bert-base-cased,sum,100,cosine,0.04083121120406208,83.46031175000098,0.2454715051470617
bert-large-cased,sum,100,cosine,0.03617052305253943,213.30702816700068,0.6273736122558844
