model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
bert-base-multilingual-uncased,sum,50,cosine,0.3483723481491581,2.614120083999296,0.007688588482350871
bert-large-cased,sum,50,cosine,0.3468879610868061,2.454135291998682,0.007218044976466712
bert-large-cased-whole-word-masking,sum,50,cosine,0.3461650745222147,2.9596996670006774,0.008704999020590227
bert-large-uncased,sum,2,cosine,0.3461221853413289,2.796029790999455,0.00822361703235134
bert-large-cased,sum,5,cosine,0.3447164394794979,2.4348612079993472,0.007161356494115727
bert-base-uncased,sum,1,cosine,0.3423625570904181,1.9691471669975726,0.005791609314698743
bert-large-uncased-whole-word-masking,sum,50,cosine,0.3404612068618841,3.0670287079992704,0.009020672670586089
EMBEDDIA/crosloengual-bert,sum,2,cosine,0.34043694604260466,2.0314646660008293,0.005974896076473027
bert-large-uncased,sum,50,cosine,0.33539893522033837,2.7456664170022123,0.008075489461771213
bert-base-uncased,sum,50,cosine,0.332735763694908,2.0519922910025343,0.006035271444125101
bert-large-uncased-whole-word-masking,none,0,cosine,0.3188605701080315,3.4172098339986405,0.010050617158819532
bert-large-cased,sum,2,cosine,0.3135833167973914,2.473685042001307,0.0072755442411803145
bert-large-uncased,sum,1,cosine,0.3079816781831357,2.737530415997753,0.008051560047052216
bert-base-cased,none,0,cosine,0.3016862987551012,1.9365264580010262,0.0056956660529441944
bert-large-cased,sum,1,cosine,0.29733723505755894,2.436704125000688,0.007166776838237317
bert-large-cased,none,0,cosine,0.29619985644311797,3.569149083999946,0.010497497305882194
EMBEDDIA/crosloengual-bert,sum,1,cosine,0.2959702765189616,2.0600253750017146,0.006058898161769749
bert-large-cased-whole-word-masking,none,0,cosine,0.2857120295371254,3.197315917001106,0.0094038703441209
bert-large-uncased,none,0,cosine,0.2528445912355497,3.806172583001171,0.011194625244121091
bert-base-uncased,none,0,cosine,0.2131345239325455,2.380073332999018,0.00700021568529123
bert-base-multilingual-uncased,none,0,cosine,0.16179043080939637,3.414278457999899,0.010041995464705585
bert-base-multilingual-cased,none,0,cosine,0.16099802290664367,2.9835122080003202,0.008775035905883294
EMBEDDIA/crosloengual-bert,sum,100,cosine,0.1063313633788151,2.0992867089989886,0.006174372673526437
EMBEDDIA/crosloengual-bert,none,0,cosine,0.10194528728608376,2.2029797920004057,0.006479352329412958
bert-large-cased,sum,100,cosine,0.04448771057516099,2.504754290999699,0.007366924385293233
bert-base-cased,sum,100,cosine,0.042127220669074594,1.7320660000004864,0.005094311764707313
bert-base-multilingual-cased,sum,100,cosine,0.04063339925395848,2.4519223749994126,0.007211536397057096
bert-large-cased-whole-word-masking,sum,100,cosine,0.0375432399019352,2.970067916001426,0.00873549387059243
bert-large-uncased-whole-word-masking,sum,100,cosine,0.011664652433375444,2.916703749997396,0.00857854044116881
bert-base-uncased,sum,100,cosine,0.00968437152134105,1.9943044999999984,0.0058656014705882305
bert-large-uncased,sum,100,cosine,0.009310517895906423,2.753290458000265,0.008097913111765486
bert-base-multilingual-uncased,sum,100,cosine,-0.0066514380625037894,2.782798832999106,0.00818470244999737
